Darksiders III,620.000,8.0,GeForce GTX 660 / Radeon R7 370 with 2 GB VRAM,25.0,Action Hack and Slash Female Protagonist Adventure Singleplayer RPG Action-Adventure Violent Open World Atmospheric Story Rich Puzzle Post-apocalyptic Gore Third Person Dark Fantasy Souls-like Dark Great Soundtrack Fantasy,27 Nov, 2018,,0
HITMAN™ 2,990.000,8.0,NVIDIA GeForce GTX 660 / Radeon HD 7870,60.0,Stealth Action Singleplayer Multiplayer Violent Third Person Assassin Open World Gore Co-op Sandbox Strategy Atmospheric Online Co-Op Puzzle Nudity Great Soundtrack Third-Person Shooter Funny Illuminati,13 Nov, 2018,7659,89
Team Fortress 2,0,1.0,NVIDIA GeForce 8 or higher, ATI X1600 or higher, Intel HD 3000 or higher,15.0,Free to Play Multiplayer FPS Action Shooter Class-Based Team-Based Funny First-Person Trading Cartoony Competitive Online Co-Op Co-op Robots Comedy Tactical Crafting Cartoon Moddable,10 Oct, 2007,537682,93
The Forest,188.000,4.0,NVIDIA GeForce 8800GT,5.0,Survival Open World Horror Crafting Adventure Building First-Person Survival Horror Action Sandbox Exploration Atmospheric Simulation Indie Singleplayer Early Access Realistic Gore Zombies FPS,30 Apr, 2018,94033,92
Rust,280.000,8.0,GTX 670 2GB / AMD R9 280 better,20.0,Survival Crafting Multiplayer Open World Sandbox Building PvP Adventure First-Person Action FPS Nudity Indie Early Access Co-op Shooter Online Co-Op Simulation Post-apocalyptic Survival Horror,8 Feb, 2018,193475,80
Just Cause 4,Not Available,8.0,NVIDIA GeForce GTX 760 (2GB VRAM or better) | AMD R9 270 (2GB VRAM or better),59.0,Action Open World Adventure Destruction Singleplayer Sandbox Third-Person Shooter Violent Shooter Physics Gore Story Rich Funny Atmospheric Co-op FPS,4 Dec, 2018,,0
Assassin's Creed® Odyssey,990.000,8.0,AMD Radeon R9 285, NVIDIA GeForce GTX 660 (2GB VRAM with Shader Model 5.0) (MORE DETAILSHERE),0,Open World Action RPG Singleplayer Adventure Assassin Stealth Historical Third Person Story Rich Female Protagonist Nudity Sexual Content Violent Choices Matter Parkour Atmospheric Gore Multiplayer Great Soundtrack,5 Oct, 2018,12365,85
Dead by Daylight,188.000,8.0,DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB,25.0,Horror Survival Horror Multiplayer Co-op Survival Stealth Gore Atmospheric Third Person Action Blood Online Co-Op Team-Based First-Person Psychological Horror Violent Strategy Mature Comedy Difficult,14 Jun, 2016,122485,77
Parkitect,250.000,4.0,Shader Model 3.0 capabilities (most cards made since ~2004 should work),2.0,Management Simulation Building Sandbox Indie Early Access Resource Management City Builder Funny Singleplayer Isometric Strategy Family Friendly Moddable Colorful Economy Relaxing Great Soundtrack,29 Nov, 2018,1053,89
American Truck Simulator,350.000,4.0,GeForce GTS 450-class (Intel HD 4000),3.0,Simulation Driving Open World America Multiplayer Realistic Singleplayer Relaxing Moddable First-Person Exploration Atmospheric Economy Adventure Casual Indie Family Friendly Third Person Management Action,2 Feb, 2016,19313,91
